gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4988461301	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA1369B13C4D45F916FC1A53ED.mc.3B393CF11368B13A4FEBF95EFC5753D1	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene tricolor		SPECIES	Pseudonannolene tricolor Brölemann, 1902	Pseudonannolene tricolor Brolemann 1902	Brolemann 1902	BR	U. H. E Luiz Eduardo de Magalhaes	Tocantins	PRESENT	2	a064f300-1bc8-41ea-9364-b864ef4e8938	-9.754609	-48.38095			264.0				2001-11-02	2	11	2001	1026426	1026426	MATERIAL_CITATION	IBSP		IBSP 2031				CC0_1_0					2025-11-08T05:37:40.502Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101310284	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA1315B1484D45F9EEFC01571A.mc.3B393CF1131BB1494F86FDAAFCC0575E	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene halophila		SPECIES	Pseudonannolene halophila Schubart, 1949	Pseudonannolene halophila Schubart 1949	Schubart 1949	BR	Mata da Copebras	Sao Paulo	PRESENT	1	a064f300-1bc8-41ea-9364-b864ef4e8938	-23.847248	-46.399757			11.0								6186012	6186012	MATERIAL_CITATION	IBSP		IBSP 3296				CC0_1_0		A. Nogueira			2025-11-08T05:37:46.662Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101310283	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA135FB10F4D1DFB36FBA9576B.mc.3B393CF1135EB10C4E56FDAAFEF057BD	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene nicolau		SPECIES	Pseudonannolene nicolau Iniesta, Bouzan & Brescovit, 2023	Pseudonannolene nicolau Iniesta, Bouzan, and Brescovit 2023	Iniesta, Bouzan, and Brescovit 2023	BR	Aripuana	Mato Grosso	PRESENT	7	a064f300-1bc8-41ea-9364-b864ef4e8938	-10.306043	-59.658974			214.0				2003-12-15	15	12	2003	12263633	12263633	MATERIAL_CITATION	CZUFMT		CZUFMT 831				CC0_1_0		C. Strussmann			2025-11-08T05:37:46.660Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
4101310282	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA1309B15F4EA9FEE4FC055083.mc.3B393CF1130FB15D4BD3FA35FCF25329	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene microzoporus		SPECIES	Pseudonannolene microzoporus Mauriès, 1987	Pseudonannolene microzoporus Mauries 1987	Mauries 1987	BR		Bahia	PRESENT	1	a064f300-1bc8-41ea-9364-b864ef4e8938									2011-02-08	8	2	2011	1026408	1026408	MATERIAL_CITATION	IBSP		IBSP 5675				CC0_1_0					2025-11-08T05:37:46.657Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101310281	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA1371B1224D74FD91FED55297.mc.3B393CF11371B1234C87F861FD9452F4	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene parvula		SPECIES	Pseudonannolene parvula Silvestri, 1902	Pseudonannolene parvula Silvestri 1902	Silvestri 1902	BR	Parque Nacional do Iguacu	Parana	PRESENT	1	a064f300-1bc8-41ea-9364-b864ef4e8938	-25.500435	-54.58335			195.0				2002-03-03	3	3	2002	1026412	1026412	MATERIAL_CITATION	IBSP		IBSP 1957				CC0_1_0		Equipe Biota			2025-11-08T05:37:46.658Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101310280	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA135AB10B4D12FBEDFA895350.mc.3B393CF1135AB1084FBCF9C9FC9753B8	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene insularis		SPECIES	Pseudonannolene insularis Iniesta, Bouzan & Brescovit, 2023	Pseudonannolene insularis Iniesta, Bouzan, and Brescovit 2023	Iniesta, Bouzan, and Brescovit 2023	BR	Ilha Prumirim	Sao Paulo	PRESENT	1	a064f300-1bc8-41ea-9364-b864ef4e8938	-23.385244	-44.944145			75.0				1994-09-02	2	9	1994	12196671	12196671	MATERIAL_CITATION	IBSP		IBSP 7888				CC0_1_0		C. F. Vieira & A. Eterovic	Holotype		2025-11-08T05:37:46.654Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101310279	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA137CB1304EACFD5CFB445752.mc.3B393CF11363B1314B7EFD85FD555798	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene sebastianus		SPECIES	Pseudonannolene sebastianus Brölemann, 1902	Pseudonannolene sebastianus Brolemann 1902	Brolemann 1902	BR	Ilha Anchieta	Sao Paulo	PRESENT	3	a064f300-1bc8-41ea-9364-b864ef4e8938	-23.550426	-45.066635			162.0				2001-07-23	23	7	2001	6186003	6186003	MATERIAL_CITATION	IBSP		IBSP 1432				CC0_1_0		Equipe Biota			2025-11-08T05:37:46.656Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101310278	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA1311B1424D4BFEE4FBEC56ED.mc.3B393CF11311B1434E34FB1BFC76502F	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene curtipes		SPECIES	Pseudonannolene curtipes Schubart, 1960	Pseudonannolene curtipes Schubart 1960	Schubart 1960	BR	Fazenda Forquilha Grande	Goias	PRESENT	1	a064f300-1bc8-41ea-9364-b864ef4e8938	-14.732396	-46.15362							1960-02		2	1960	6185993	6185993	MATERIAL_CITATION	MZSP		MZSP 1031				CC0_1_0		J. Evangelista			2025-11-08T05:37:46.653Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101310277	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA1365B1394D74FA05FAEF5669.mc.3B393CF11364B1364E8EFE07FBF1573B	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene strinatii		SPECIES	Pseudonannolene strinatii Mauriès, 1974	Pseudonannolene strinatii Mauries 1974	Mauries 1974	BR	Parque Estadual Turistico do Alto Ribeira	Sao Paulo	PRESENT	2	a064f300-1bc8-41ea-9364-b864ef4e8938	-24.485867	-48.646698			570.0				1992-07		7	1992	6186013	6186013	MATERIAL_CITATION	IBSP		IBSP 7634				CC0_1_0		A. Eterovic			2025-11-08T05:37:46.651Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101310275	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA1355B1094D1DFA3DFEA154EA.mc.3B393CF11354B1064FBCFE53FC2954C2	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene curvata		SPECIES	Pseudonannolene curvata Iniesta, Bouzan & Brescovit, 2023	Pseudonannolene curvata Iniesta, Bouzan, and Brescovit 2023	Iniesta, Bouzan, and Brescovit 2023	BR	BRAZIL	Rio Grande do Sul	PRESENT	2	a064f300-1bc8-41ea-9364-b864ef4e8938	-30.87725	-55.538788							2012-12-10	10	12	2012	12235657	12235657	MATERIAL_CITATION	MCN						CC0_1_0		Ott	Paratype		2025-11-08T05:37:46.648Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101310274	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA136CB1014D70FB4DFD9352E0.mc.3B393CF11353B1014B12FE7AFBF254ED	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene urbica		SPECIES	Pseudonannolene urbica Schubart, 1945	Pseudonannolene urbica Schubart 1945	Schubart 1945	BR	Mata da Previdencia	Sao Paulo	PRESENT	1	a064f300-1bc8-41ea-9364-b864ef4e8938	-23.57112	-46.70973			732.0				2001-02-22	22	2	2001	6186006	6186006	MATERIAL_CITATION	IBSP		IBSP 716				CC0_1_0		F. S. Cunha			2025-11-08T05:37:46.598Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101310270	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA1367B1374EBAFAB0FAD650FC.mc.3B393CF11366B1344F98FAEBFAFE501F	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene spelaea		SPECIES	Pseudonannolene spelaea Iniesta & Ferreira, 2013	Pseudonannolene spelaea Iniesta & Ferreira 2013	Iniesta & Ferreira 2013	BR		Para	PRESENT	2	a064f300-1bc8-41ea-9364-b864ef4e8938	-6.040225	-50.270454							2007-09-28	28	9	2007	9516060	9516060	MATERIAL_CITATION	R		IBSP 7327				CC0_1_0		R. Andrade			2025-11-08T05:37:46.564Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_INSTITUTION
4101310269	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA1326B1764E87FE37FBE05726.mc.3B393CF11326B1744FEBF966FC3D53F8	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene ambuatinga		SPECIES	Pseudonannolene ambuatinga Iniesta & Ferreira, 2013	Pseudonannolene ambuatinga Iniesta & Ferreira 2013	Iniesta & Ferreira 2013	BR	cave Loca d'Agua de Baixo	Minas Gerais	PRESENT	1	a064f300-1bc8-41ea-9364-b864ef4e8938	-20.369646	-45.692917							2009-01-28	28	1	2009	8453016	8453016	MATERIAL_CITATION	R		ISLA 2267				CC0_1_0		R. L. Ferreira	Holotype		2025-11-08T05:37:46.544Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_INSTITUTION
4101310268	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA1376B1274D46FE33FE985351.mc.3B393CF11376B1244E40FA94FC7150AC	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene paulista		SPECIES	Pseudonannolene paulista Brölemann, 1902	Pseudonannolene paulista Brolemann 1902	Brolemann 1902	BR	Estacao Ecologica de Assis	Sao Paulo	PRESENT	2	a064f300-1bc8-41ea-9364-b864ef4e8938	-22.661072	-50.419106			576.0				2002-11-25	25	11	2002	1026416	1026416	MATERIAL_CITATION	IBSP		IBSP 7894				CC0_1_0		Equipe Biota			2025-11-08T05:37:46.543Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101310267	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA1310B1454EA2FC15FC77528B.mc.3B393CF11310B1424D67F82BFB4652DF	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene erikae		SPECIES	Pseudonannolene erikae Iniesta & Ferreira, 2014	Pseudonannolene erikae Iniesta & Ferreira 2014	Iniesta & Ferreira 2014	BR	Sao Jose da Lapa	Minas Gerais	PRESENT	2	a064f300-1bc8-41ea-9364-b864ef4e8938	-19.69921	-43.95831			732.0				2012-12-17	17	12	2012	8568561	8568561	MATERIAL_CITATION	IBSP		IBSP 7603				CC0_1_0		Bueno			2025-11-08T05:37:46.541Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101310266	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA1359B10D4D1CF979FCBE518D.mc.3B393CF11358B10A4BB1FB6CFD335180	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene morettii		SPECIES	Pseudonannolene morettii Iniesta, Bouzan & Brescovit, 2023	Pseudonannolene morettii Iniesta, Bouzan, and Brescovit 2023	Iniesta, Bouzan, and Brescovit 2023	BR	Parque Municipal da Serra do Itapety	Sao Paulo	PRESENT	2	a064f300-1bc8-41ea-9364-b864ef4e8938	-23.493336	-46.19638			881.0				2003-10-13	13	10	2003	12190204	12190204	MATERIAL_CITATION	IBSP		IBSP 2482				CC0_1_0		Mogi das Cruzes & Equipe Biota			2025-11-08T05:37:46.539Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101310265	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA132FB17F4EB3FCD4FDA5561E.mc.3B393CF1132EB17C4C3CFE9EFE275491	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene caatinga		SPECIES	Pseudonannolene caatinga Iniesta & Ferreira, 2014	Pseudonannolene caatinga Iniesta & Ferreira 2014	Iniesta & Ferreira 2014	BR	Estacao Ecologica Murici	Alagoas	PRESENT	2	a064f300-1bc8-41ea-9364-b864ef4e8938	-9.232525	-35.858162			408.0				2003-09-13	13	9	2003	8682135	8682135	MATERIAL_CITATION	IBSP		IBSP 2169				CC0_1_0		Equipe Biota			2025-11-08T05:37:46.538Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
