species,decimalLongitude,decimalLatitude
Eleutherodactylus johnstonei,-74.892868,5.190051
Eleutherodactylus johnstonei,-68.282654,12.124173
Eleutherodactylus johnstonei,-52.326728,4.728737
Eleutherodactylus johnstonei,-68.864058,12.138386
Eleutherodactylus johnstonei,-52.301883,4.94805
Eleutherodactylus johnstonei,-61.294964,10.590716
Eleutherodactylus johnstonei,-74.859603,11.018236
Eleutherodactylus johnstonei,-60.607703,11.285682
Eleutherodactylus johnstonei,-60.734979,11.18456
Eleutherodactylus johnstonei,-70.60543,9.309768
Eleutherodactylus johnstonei,-52.270294,4.910721
Eleutherodactylus johnstonei,-76.618737,3.574678
Eleutherodactylus johnstonei,-68.00792,10.188353
Eleutherodactylus johnstonei,-72.4262,5.3459
Eleutherodactylus johnstonei,-58.07628,6.816856
Eleutherodactylus johnstonei,-76.310387,3.539741
Eleutherodactylus johnstonei,-76.514562,3.274133
Eleutherodactylus johnstonei,-58.169775,6.772267
Eleutherodactylus johnstonei,-75.549097,10.427561
Eleutherodactylus johnstonei,-61.670487,12.024467
Eleutherodactylus johnstonei,-61.407672,10.693395
Eleutherodactylus johnstonei,-76.557717,3.457152
Eleutherodactylus johnstonei,-76.678648,3.736942
Eleutherodactylus johnstonei,-61.455463,10.421203
Eleutherodactylus johnstonei,-76.527648,3.521305
Eleutherodactylus johnstonei,-75.298107,2.941582
Eleutherodactylus johnstonei,-74.802737,11.001892
Eleutherodactylus johnstonei,-66.936276,10.358642
Eleutherodactylus johnstonei,-66.842867,10.45125
Eleutherodactylus johnstonei,-76.084869,4.54898
Eleutherodactylus johnstonei,-76.571937,3.656254
Eleutherodactylus johnstonei,-68.99002,12.16957
Eleutherodactylus johnstonei,-76.500241,3.477513
Eleutherodactylus johnstonei,-75.65867,4.549561
Eleutherodactylus johnstonei,-75.911629,4.747292
Eleutherodactylus johnstonei,-68.277412,12.189006
Eleutherodactylus johnstonei,-66.522003,10.623158
Eleutherodactylus johnstonei,-75.575473,6.145736
Eleutherodactylus johnstonei,-76.527496,3.341672
Eleutherodactylus johnstonei,-73.121387,7.141173
Eleutherodactylus johnstonei,-58.182452,6.710071
Eleutherodactylus johnstonei,-61.402962,10.510909
Eleutherodactylus johnstonei,-68.874236,12.085518
Eleutherodactylus johnstonei,-76.530556,3.389503
Eleutherodactylus johnstonei,-73.069966,7.020457
Eleutherodactylus johnstonei,-73.016533,7.018921
Eleutherodactylus johnstonei,-66.794418,10.480312
Eleutherodactylus johnstonei,-74.147034,4.546687
Eleutherodactylus johnstonei,-72.931948,4.634493
Eleutherodactylus johnstonei,-66.955065,10.473143
Eleutherodactylus johnstonei,-52.40078,4.8033
Eleutherodactylus johnstonei,-75.578889,6.198889
Eleutherodactylus johnstonei,-52.342807,4.915748
Eleutherodactylus johnstonei,-61.552563,10.69203
Eleutherodactylus johnstonei,-75.563847,6.272404
Eleutherodactylus johnstonei,-61.368906,10.794504
Eleutherodactylus johnstonei,-66.863411,10.592819
Eleutherodactylus johnstonei,-75.605908,6.238627
Eleutherodactylus johnstonei,-67.034623,10.604369
Eleutherodactylus johnstonei,-58.1379,6.824613
Eleutherodactylus johnstonei,-66.865189,10.496384
Eleutherodactylus johnstonei,-76.601,3.3433
Eleutherodactylus johnstonei,-61.75427,11.993511
Eleutherodactylus johnstonei,-68.895092,10.152273
Eleutherodactylus johnstonei,-75.164278,9.9425
Eleutherodactylus johnstonei,-76.699722,3.6925
Eleutherodactylus johnstonei,-52.329113,4.850208
Eleutherodactylus johnstonei,-52.678333,4.0875
Eleutherodactylus johnstonei,-46.68,-23.63
Eleutherodactylus johnstonei,-52.455883,4.791887
Eleutherodactylus johnstonei,-68.9658,12.1205
Eleutherodactylus johnstonei,-61.399484,10.64152
Eleutherodactylus johnstonei,-60.780101,11.152146
Eleutherodactylus johnstonei,-61.35,10.63
Eleutherodactylus johnstonei,-69.158426,12.378019
Eleutherodactylus johnstonei,-73.09234,7.100588
Eleutherodactylus johnstonei,-61.47,10.66
Eleutherodactylus johnstonei,-61.6167,12.1167
Eleutherodactylus johnstonei,-61.5181,10.655
Eleutherodactylus johnstonei,-64.1833,10.4667
Eleutherodactylus johnstonei,-66.9167,10.5
Eleutherodactylus johnstonei,-61.694877,12.095849
Eleutherodactylus johnstonei,-79.83778,9.16361
Eleutherodactylus johnstonei,-58.552484,5.98888
Eleutherodactylus johnstonei,-79.65,9.06667
Eleutherodactylus johnstonei,-79.39433,9.0622
Eleutherodactylus johnstonei,-59.45,5.2
Eleutherodactylus johnstonei,-61.638014,12.224325
Eleutherodactylus johnstonei,-61.74633,12.05575
Eleutherodactylus johnstonei,-61,12
Eleutherodactylus johnstonei,-53.23477,3.92404
