species,decimalLongitude,decimalLatitude
Lithobates catesbeianus,-74.820777,39.189847
Lithobates catesbeianus,-117.010725,33.011311
Lithobates catesbeianus,-121.455483,39.522469
Lithobates catesbeianus,-82.366394,28.556015
Lithobates catesbeianus,-123.442628,42.501542
Lithobates catesbeianus,-97.633286,30.401368
Lithobates catesbeianus,-95.681847,30.406605
Lithobates catesbeianus,-85.804364,33.961976
Lithobates catesbeianus,-120.334173,35.45914
Lithobates catesbeianus,-123.022842,44.811005
Lithobates catesbeianus,-122.977194,38.60334
Lithobates catesbeianus,-121.151589,45.76053
Lithobates catesbeianus,-119.171421,35.327421
Lithobates catesbeianus,-79.438894,35.165357
Lithobates catesbeianus,-76.440737,36.165722
Lithobates catesbeianus,-122.716127,44.400879
Lithobates catesbeianus,-159.520181,21.943629
Lithobates catesbeianus,-75.182861,39.605942
Lithobates catesbeianus,-82.977112,29.489212
Lithobates catesbeianus,-82.588043,34.868136
Lithobates catesbeianus,-93.959953,30.168908
Lithobates catesbeianus,-81.35125,27.181758
Lithobates catesbeianus,-77.224547,41.724572
Lithobates catesbeianus,-84.022738,33.672817
Lithobates catesbeianus,-92.926598,36.445938
Lithobates catesbeianus,-94.273705,29.929828
Lithobates catesbeianus,-90.064453,35.135647
Lithobates catesbeianus,-79.81054,35.81409
Lithobates catesbeianus,-78.514214,36.063568
Lithobates catesbeianus,-90.184834,38.869816
Lithobates catesbeianus,-87.403694,30.690292
Lithobates catesbeianus,-85.312172,33.556515
Lithobates catesbeianus,-95.210721,29.799073
Lithobates catesbeianus,-95.586853,28.882795
Lithobates catesbeianus,-93.705171,32.433183
Lithobates catesbeianus,-77.301773,37.644692
Lithobates catesbeianus,-96.25363,30.574392
Lithobates catesbeianus,-82.7369,27.788145
Lithobates catesbeianus,-95.540733,28.862595
Lithobates catesbeianus,-81.257467,30.143109
Lithobates catesbeianus,-81.005303,28.56928
Lithobates catesbeianus,-94.049734,35.331579
Lithobates catesbeianus,-84.041039,34.147689
Lithobates catesbeianus,-121.06534,39.118137
Lithobates catesbeianus,-87.868872,30.597058
Lithobates catesbeianus,-91.095221,30.356473
Lithobates catesbeianus,-89.362922,31.339808
Lithobates catesbeianus,-83.638239,32.605979
Lithobates catesbeianus,-89.091966,32.281365
Lithobates catesbeianus,-95.673928,30.469359
Lithobates catesbeianus,-93.252568,30.124934
Lithobates catesbeianus,-117.247313,33.156956
Lithobates catesbeianus,-96.992175,32.612522
Lithobates catesbeianus,-121.814178,36.958438
Lithobates catesbeianus,-74.863561,39.047904
Lithobates catesbeianus,-89.153403,32.273165
Lithobates catesbeianus,-78.553737,36.739842
Lithobates catesbeianus,-88.551964,30.413593
Lithobates catesbeianus,-116.837885,33.025823
