species,decimalLongitude,decimalLatitude
Lithobates catesbeianus,-117.010725,33.011311
Lithobates catesbeianus,-97.747963,29.879879
Lithobates catesbeianus,-121.455483,39.522469
Lithobates catesbeianus,-82.366394,28.556015
Lithobates catesbeianus,-123.442628,42.501542
Lithobates catesbeianus,-95.681847,30.406605
Lithobates catesbeianus,-85.804364,33.961976
Lithobates catesbeianus,-123.022867,44.810997
Lithobates catesbeianus,-120.334173,35.45914
Lithobates catesbeianus,-81.607819,28.352633
Lithobates catesbeianus,-122.977194,38.60334
Lithobates catesbeianus,-122.809776,39.017791
Lithobates catesbeianus,-121.151589,45.76053
Lithobates catesbeianus,-119.171421,35.327421
Lithobates catesbeianus,-79.438894,35.165357
Lithobates catesbeianus,-122.716127,44.400879
Lithobates catesbeianus,-122.043731,37.919555
Lithobates catesbeianus,-159.520181,21.943629
Lithobates catesbeianus,-75.182861,39.605942
Lithobates catesbeianus,-88.766578,30.40933
Lithobates catesbeianus,-82.977112,29.489212
Lithobates catesbeianus,-82.588043,34.868136
Lithobates catesbeianus,-93.959953,30.168908
Lithobates catesbeianus,-81.35125,27.181758
Lithobates catesbeianus,-77.224547,41.724572
Lithobates catesbeianus,-84.022738,33.672817
Lithobates catesbeianus,-88.930381,37.377331
Lithobates catesbeianus,-78.718404,35.810361
Lithobates catesbeianus,-92.926598,36.445938
Lithobates catesbeianus,-94.273705,29.929828
Lithobates catesbeianus,-90.064453,35.135647
Lithobates catesbeianus,-76.440912,36.165745
Lithobates catesbeianus,-79.81054,35.81409
Lithobates catesbeianus,-81.16905,28.701302
Lithobates catesbeianus,-78.514214,36.063568
Lithobates catesbeianus,-90.184834,38.869816
Lithobates catesbeianus,-85.312082,33.556297
Lithobates catesbeianus,-87.403694,30.690292
Lithobates catesbeianus,-95.210721,29.799073
Lithobates catesbeianus,-93.705171,32.433183
Lithobates catesbeianus,-77.301773,37.644692
Lithobates catesbeianus,-97.143066,33.116516
Lithobates catesbeianus,-82.7369,27.788145
Lithobates catesbeianus,-95.540733,28.862595
Lithobates catesbeianus,-81.257467,30.143109
Lithobates catesbeianus,-94.049734,35.331579
Lithobates catesbeianus,-121.06534,39.118137
Lithobates catesbeianus,-87.868872,30.597058
Lithobates catesbeianus,-89.362922,31.339808
Lithobates catesbeianus,-83.638239,32.605979
Lithobates catesbeianus,-95.673928,30.469359
Lithobates catesbeianus,-93.25247,30.127131
Lithobates catesbeianus,-111.767894,33.237226
Lithobates catesbeianus,-117.247313,33.156956
Lithobates catesbeianus,-89.091942,32.274914
Lithobates catesbeianus,-96.992175,32.612522
Lithobates catesbeianus,-121.814178,36.958438
Lithobates catesbeianus,-74.863561,39.047904
Lithobates catesbeianus,-118.005298,33.702257
Lithobates catesbeianus,-89.153403,32.273165
Lithobates catesbeianus,-78.553737,36.739842
Lithobates catesbeianus,-88.551964,30.413593
Lithobates catesbeianus,-116.837885,33.025823
Lithobates catesbeianus,-82.345168,27.960155
Lithobates catesbeianus,-159.353263,21.960918
Lithobates catesbeianus,-122.27109,37.318226
Lithobates catesbeianus,-121.296792,38.517688
Lithobates catesbeianus,-85.764281,33.918686
Lithobates catesbeianus,-122.376569,48.733049
Lithobates catesbeianus,-119.30465,34.351513
Lithobates catesbeianus,-81.277735,31.983815
Lithobates catesbeianus,-122.969848,38.816618
Lithobates catesbeianus,-68.743963,44.950189
Lithobates catesbeianus,-83.038039,42.036245
Lithobates catesbeianus,-122.481875,37.767836
Lithobates catesbeianus,-117.323487,33.496991
Lithobates catesbeianus,-83.495683,33.006553
Lithobates catesbeianus,-112.025397,33.415017
Lithobates catesbeianus,-78.64273,35.642822
Lithobates catesbeianus,-78.760743,35.751992
Lithobates catesbeianus,-93.993242,32.639753
Lithobates catesbeianus,-76.79202,37.25114
Lithobates catesbeianus,-121.055019,38.764081
Lithobates catesbeianus,-90.669274,42.516465
Lithobates catesbeianus,-77.293525,40.288772
Lithobates catesbeianus,-96.275322,30.522353
Lithobates catesbeianus,-93.247287,37.010915
Lithobates catesbeianus,-122.589846,40.649215
Lithobates catesbeianus,-75.581763,38.747075
Lithobates catesbeianus,-157.879586,21.373328
Lithobates catesbeianus,-159.503988,21.895893
Lithobates catesbeianus,-82.668683,28.129806
Lithobates catesbeianus,-116.989853,32.844444
Lithobates catesbeianus,-121.25092,38.848199
Lithobates catesbeianus,-156.536103,20.883075
Lithobates catesbeianus,-80.033919,36.92737
Lithobates catesbeianus,-120.262456,37.278788
Lithobates catesbeianus,-159.6489,21.938742
Lithobates catesbeianus,-95.18225,32.254825
Lithobates catesbeianus,-122.6839,48.507461
Lithobates catesbeianus,-122.082436,37.066956
Lithobates catesbeianus,-93.23142,33.319015
Lithobates catesbeianus,-82.173338,36.378372
Lithobates catesbeianus,-84.713106,33.576422
Lithobates catesbeianus,-83.388127,33.31766
Lithobates catesbeianus,-95.168372,30.140853
Lithobates catesbeianus,-86.272708,34.511202
Lithobates catesbeianus,-84.183274,32.127106
Lithobates catesbeianus,-75.746413,39.218403
Lithobates catesbeianus,-86.517288,41.750435
Lithobates catesbeianus,-118.343675,33.826253
Lithobates catesbeianus,-117.231287,32.861211
Lithobates catesbeianus,-75.67276,39.358261
Lithobates catesbeianus,-82.43697,29.10357
Lithobates catesbeianus,-70.802504,42.242064
Lithobates catesbeianus,-81.749641,29.799676
Lithobates catesbeianus,-82.807747,34.951153
Lithobates catesbeianus,-71.103119,41.94783
Lithobates catesbeianus,-71.380028,42.095086
Lithobates catesbeianus,-97.01597,32.311782
Lithobates catesbeianus,-85.073265,31.983086
Lithobates catesbeianus,-96.723491,29.517991
Lithobates catesbeianus,-95.643372,29.397242
Lithobates catesbeianus,-75.667503,40.387317
Lithobates catesbeianus,-77.107857,38.327942
Lithobates catesbeianus,-80.34975,40.732304
Lithobates catesbeianus,-122.817413,38.166795
Lithobates catesbeianus,-76.016204,39.690521
Lithobates catesbeianus,-121.250392,38.994136
Lithobates catesbeianus,-96.494829,28.493445
Lithobates catesbeianus,-119.893455,36.896372
Lithobates catesbeianus,-91.067893,30.371275
Lithobates catesbeianus,-85.758155,33.802913
Lithobates catesbeianus,-122.854899,45.756545
Lithobates catesbeianus,-87.211959,36.645798
Lithobates catesbeianus,-79.16133,43.150528
Lithobates catesbeianus,-94.664742,29.82181
Lithobates catesbeianus,-95.891001,41.171948
Lithobates catesbeianus,-85.874484,41.942541
Lithobates catesbeianus,-77.661972,39.700909
Lithobates catesbeianus,-122.188521,38.384732
Lithobates catesbeianus,-87.25975,31.001076
Lithobates catesbeianus,-83.021782,39.856417
Lithobates catesbeianus,-74.450867,42.660542
Lithobates catesbeianus,-80.858427,40.796745
Lithobates catesbeianus,-81.353864,28.846651
Lithobates catesbeianus,-85.803554,38.078653
Lithobates catesbeianus,-83.244694,43.112301
Lithobates catesbeianus,-121.792236,39.76239
Lithobates catesbeianus,-91.59182,33.622348
Lithobates catesbeianus,-76.429462,35.457871
Lithobates catesbeianus,-90.682755,42.572987
Lithobates catesbeianus,-95.921464,41.238214
Lithobates catesbeianus,-72.261624,41.955954
Lithobates catesbeianus,-74.478841,40.404439
Lithobates catesbeianus,-82.619737,34.798133
Lithobates catesbeianus,-78.764219,33.80329
Lithobates catesbeianus,-87.878067,41.708572
Lithobates catesbeianus,-76.494624,37.216154
Lithobates catesbeianus,-81.378674,40.878302
Lithobates catesbeianus,-80.780395,35.464787
Lithobates catesbeianus,-76.56343,35.466468
Lithobates catesbeianus,-71.258818,42.152145
Lithobates catesbeianus,-77.490998,34.562944
Lithobates catesbeianus,-122.177381,40.324847
Lithobates catesbeianus,-71.700032,45.686129
Lithobates catesbeianus,-87.139861,36.937182
Lithobates catesbeianus,-97.276992,30.112403
Lithobates catesbeianus,-82.815474,27.991851
Lithobates catesbeianus,-122.918171,47.47674
Lithobates catesbeianus,-75.547707,38.23317
Lithobates catesbeianus,-78.767058,35.613737
Lithobates catesbeianus,-64.793341,44.253141
Lithobates catesbeianus,-86.933777,40.452707
Lithobates catesbeianus,-92.854716,34.633812
Lithobates catesbeianus,-77.024018,38.656772
Lithobates catesbeianus,-104.765276,39.967559
Lithobates catesbeianus,-80.626534,34.075687
Lithobates catesbeianus,-74.019169,41.771281
Lithobates catesbeianus,-94.545816,29.613364
Lithobates catesbeianus,-81.14605,33.293287
Lithobates catesbeianus,-78.393796,37.530066
Lithobates catesbeianus,-76.618212,37.402512
Lithobates catesbeianus,-83.830733,40.599725
Lithobates catesbeianus,-79.562379,34.815338
Lithobates catesbeianus,-116.652994,33.044314
Lithobates catesbeianus,-87.049582,39.554192
Lithobates catesbeianus,-75.724316,41.396473
Lithobates catesbeianus,-93.792358,41.785775
Lithobates catesbeianus,-73.771,40.686489
Lithobates catesbeianus,-82.006958,29.687697
Lithobates catesbeianus,-92.10768,35.488995
Lithobates catesbeianus,-95.466492,29.028406
Lithobates catesbeianus,-79.5667,34.955155
Lithobates catesbeianus,-97.633164,30.401245
Lithobates catesbeianus,-86.843637,33.126653
Lithobates catesbeianus,-75.033331,40.347655
Lithobates catesbeianus,-78.968003,35.967438
Lithobates catesbeianus,-80.996631,28.576552
Lithobates catesbeianus,-84.150155,34.24038
Lithobates catesbeianus,-87.079849,36.287913
Lithobates catesbeianus,-96.196005,33.10815
Lithobates catesbeianus,-87.365339,36.732803
Lithobates catesbeianus,-87.389762,36.775748
